GeoID,Population
Aruba,106965
Afghanistan,39307198
Angola,33304302
Albania,2876410
Andorra,77319
United Arab Emirates,9942556
Argentina,45373860
Australia,47329981
Austria,9028764
Azerbaijan,10179174
Burundi,12042719
Belgium,11589623
Benin,12259922
Burkina Faso,21149767
Bangladesh,165406860
Bulgaria,6925234
Bahrain,1726822
Bahamas,394888
Bosnia and Herzegovina,3271773
Belarus,9447952
Belize,400760
Bermuda,62176
Bolivia,11742415
Barbados,287530
Brunei,439311
Bhutan,775320
Botswana,2372192
Central African Republic,4866235
Canada,37887014
Switzerland,8682364
Chile,19188045
China,1441767293
Cote d'Ivoire,26659921
Cameroon,26830744
Democratic Republic of Congo,90728835
Congo,5576659
Colombia,51119899
Comoros,877615
Cape Verde,558625
Costa Rica,5114474
Cuba,11323565
Cyprus,1211212
Czech Republic,10717730
Germany,83783942
Djibouti,994256
Dominica,72065
Denmark,5792202
Dominican Republic,10895476
Algeria,44194702
Ecuador,17759643
Egypt,103171433
Eritrea,3567808
Spain,47329981
Estonia,1326928
Ethiopia,116191430
Finland,5544511
Fiji,899292
France,65333951
Faeroe Islands,48945
Gabon,2248405
Ghana,31353676
Guinea,13286031
Gambia,2445845
Greece,10400509
Greenland,56813
Guatemala,18059338
Guam,169423
Guyana,788219
Hong Kong,7523622
Honduras,9973115
Croatia,4094045
Haiti,11463188
Hungary,9649509
Indonesia,274787687
India,1385826873
Ireland,4961879
Iran,84461844
Iraq,40612561
Iceland,342214
Israel,8714417
Italy,60461826
Jamaica,2966847
Jordan,10247428
Japan,126308421
Kazakhstan,18874741
Kenya,54283372
Kyrgyz Republic,6570980
Cambodia,16819786
South Korea,51288272
Kuwait,4298066
Laos,7321534
Lebanon,6811914
Liberia,5109001
Libya,6912015
Sri Lanka,21452710
Lesotho,2149689
Lithuania,2705350
Luxembourg,630405
Latvia,1876919
Macao,653193
Morocco,37101541
Monaco,39364
Moldova,4029820
Madagascar,27997677
Mexico,129524815
Mali,20501322
Myanmar,54569764
Mongolia,3301245
Mozambique,31631785
Mauritania,4702276
Mauritius,1272698
Malawi,19342867
Malaysia,32546893
Namibia,2560875
Niger,24580115
Nigeria,208342516
Nicaragua,6658958
Netherlands,17151563
Norway,5421241
Nepal,29364264
New Zealand,4839388
Oman,5162588
Pakistan,222751400
Panama,4344310
Peru,33171970
Philippines,110216905
Papua New Guinea,9020516
Poland,37828537
Puerto Rico,2827337
Portugal,10183564
Paraguay,7170769
Palestine,5152623
Qatar,2902192
Kosovo,1811388
Romania,19180782
Russia,145962052
Rwanda,13090653
Saudi Arabia,35049731
Sudan,44291320
Senegal,16933881
Singapore,5870500
Solomon Islands,694149
Sierra Leone,8047232
El Salvador,6500579
San Marino,33962
Somalia,16083815
Serbia,8721797
South Sudan,11251021
Suriname,588933
Slovak Republic,5460808
Slovenia,2079064
Sweden,10125863
Eswatini,1165415
Seychelles,98614
Syria,17684051
Chad,16628301
Togo,8362495
Thailand,69877067
Tajikistan,9630222
Timor-Leste,1329333
Trinidad and Tobago,1401481
Tunisia,11872672
Turkey,84735628
Taiwan,23835759
Tanzania,60465128
Uganda,46359623
Ukraine,43167310
Uruguay,3479024
Uzbekistan,33680430
Venezuela,28400321
United States Virgin Islands,104357
Vietnam,97721890
Vanuatu,310244
Yemen,30109966
South Africa,59634888
Zambia,18605236
Zimbabwe,14957137
England,56286961
Northern Ireland,1893667
Scotland,5463300
Wales,3152879
Alaska,731545
Alabama,4903185
Arkansas,3017804
Arizona,7278717
California,39512223
Colorado,5758736
Connecticut,3565287
Washington DC,705749
Delaware,973764
Florida,21477737
Georgia,10617423
Hawaii,1415872
Iowa,3155070
Idaho,1787065
Illinois,12671821
Indiana,6732219
Kansas,2913314
Kentucky,4467673
Louisiana,4648794
Massachusetts,6892503
Maryland,6045680
Maine,1344212
Michigan,9986857
Minnesota,5639632
Missouri,6137428
Mississippi,2976149
Montana,1068778
North Carolina,10488084
North Dakota,762062
Nebraska,1934408
New Hampshire,1359711
New Jersey,8882190
New Mexico,2096829
Nevada,3080156
New York,19453561
Ohio,11689100
Oklahoma,3956971
Oregon,4217737
Pennsylvania,12801989
Rhode Island,1059361
South Carolina,5148714
South Dakota,884659
Tennessee,6829174
Texas,28995881
Utah,3205958
Virginia,8535519
Vermont,623989
Washington,7614893
Wisconsin,5822434
West Virginia,1792147
Wyoming,578759
United Kingdom,66796807
United States,328450115
Brazil,211755602
